linterId,severity,objectName,message,value
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresse,<800> repetitions of the same value <N'GEA>,bilan_adm.adresse.quartier
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresse,<870> repetitions of the same value <CENTRE VILLE>,bilan_adm.adresse.quartier
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresse,<87> repetitions of the same value <RECEIVING>,bilan_adm.adresse.quartier
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresse,<882> repetitions of the same value <SIXIEME KILOMETRE>,bilan_adm.adresse.quartier
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresse,<960> repetitions of the same value <SEPTIEME KILOMETRE>,bilan_adm.adresse.quartier
io.github.mbarre.schemacrawler.tool.linter.LinterColumnSize,HIGH,bilan_adm.adresse,Column is oversized (100 char.) regarding its content (max: 13 char.).,bilan_adm.adresse.auteur_creation
io.github.mbarre.schemacrawler.tool.linter.LinterColumnSize,HIGH,bilan_adm.adresse,Column is oversized (100 char.) regarding its content (max: 13 char.).,bilan_adm.adresse.auteur_modif
schemacrawler.tools.linter.LinterTableAllNullableColumns,HIGH,bilan_adm.adresse,no non-nullable data columns,
schemacrawler.tools.linter.LinterTableWithNoPrimaryKey,CRITICAL,bilan_adm.adresses_consolidees,no primary key,
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<100> repetitions of the same value <LOTISSEMENT LAFLEUR>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<100> repetitions of the same value <LOTISSEMENT SECAL-NUMBO>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<103> repetitions of the same value <LOTISSEMENT LES RESIDENCES DU GOLF>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<103> repetitions of the same value <LOTISSEMENT MUNICIPAL DE TINA>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<104> repetitions of the same value <550>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<104> repetitions of the same value <LOTISSEMENT 90 LOGEMENTS DE MARCONI>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<104> repetitions of the same value <LOTISSEMENT S.L.N.>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<105> repetitions of the same value <RUE HENRI BOISSERY>,bilan_adm.adresses_consolidees.voie
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<1068> repetitions of the same value <DUCOS INDUSTRIEL>,bilan_adm.adresses_consolidees.quartier
